Id , Score, time
Aman,7,Wed Aug 18 17:58:44 2021

Aman,6,Fri Aug 27 14:45:56 2021

Aman,5,Fri Aug 27 15:31:25 2021

Chinmay,6,Fri Aug 27 19:43:48 2021
